Date,MSCI USA - PRICE INDEX,,Date,MSCI USA - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD U$ - TOT RETURN IND,MSCI WORLD U$ - TOT RETURN IND
Q1 1976,92.236,,Q1 1976,114.104,NA,NA,125.732,125.732
Q2 1976,104.108,,Q2 1976,130.651,NA,NA,137.942,137.942
Q3 1976,105.417,,Q3 1976,133.733,NA,NA,139.189,139.189
Q4 1976,106.166,,Q4 1976,136.431,NA,NA,139.131,139.131
Q1 1977,108.904,,Q1 1977,140.63,NA,NA,144.228,144.228
Q2 1977,100.787,,Q2 1977,129.807,NA,NA,138.34,138.34
Q3 1977,101.732,,Q3 1977,134.267,NA,NA,143.608,143.608
Q4 1977,98.4,,Q4 1977,130.472,NA,NA,144.449,144.449
Q1 1978,96.119,,Q1 1978,129.353,NA,NA,147.115,147.115
Q2 1978,88.883,,Q2 1978,122.298,NA,NA,148.635,148.635
Q3 1978,95.387,,Q3 1978,132.576,NA,NA,159.391,159.391
Q4 1978,103.255,,Q4 1978,143.978,NA,NA,177.417,177.417
Q1 1979,96.508,,Q1 1979,137.066,NA,NA,173.914,173.914
Q2 1979,100.977,,Q2 1979,146.444,NA,NA,182.932,182.932
Q3 1979,101.245,,Q3 1979,149.302,NA,NA,185.346,185.346
Q4 1979,106.18,,Q4 1979,158.296,NA,NA,199.306,199.306
Q1 1980,104.383,,Q1 1980,156.871,NA,NA,195.949,195.949
Q2 1980,98.476,,Q2 1980,150.127,NA,NA,186.164,186.164
Q3 1980,110.078,,Q3 1980,169.553,NA,NA,218.936,218.936
Q4 1980,120.672,,Q4 1980,186.663,NA,NA,237.829,237.829
Q1 1981,128.466,,Q1 1981,204.002,NA,NA,250.269,250.269
Q2 1981,129.458,,Q2 1981,207.305,NA,NA,253.264,253.264
Q3 1981,122.896,,Q3 1981,202.518,NA,NA,248.816,248.816
Q4 1981,111.626,,Q4 1981,183.347,NA,NA,222.529,222.529
Q1 1982,116.52,,Q1 1982,195.58,NA,NA,241.998,241.998
Q2 1982,108.774,,Q2 1982,182.399,NA,NA,218.592,218.592
Q3 1982,104.107,,Q3 1982,181.792,NA,NA,214.09,214.09
Q4 1982,117.051,,Q4 1982,203.196,NA,NA,228.415,228.415
Q1 1983,131.967,,Q1 1983,238.888,NA,NA,269.277,269.277
Q2 1983,145.709,,Q2 1983,262.619,NA,NA,291.373,291.373
Q3 1983,159.882,,Q3 1983,289.822,NA,NA,319.526,319.526
Q4 1983,157.405,,Q4 1983,290.035,NA,NA,322.61,322.61
Q1 1984,156.432,,Q1 1984,291.501,NA,NA,331.964,331.964
Q2 1984,148.086,,Q2 1984,281.595,NA,NA,345.404,345.404
Q3 1984,143.721,,Q3 1984,274.478,NA,NA,321.754,321.754
