#NAME?,NASDAQ COMPOSITE - TOT RETURN IND,NASDAQ 100 - TOT RETURN IND,S&P 500 COMPOSITE - TOT RETURN IND,FTSE 100 - TOT RETURN IND,MSCI WORLD U$ - TOT RETURN IND
Q1 1984,NA,NA,NA,NA,331.964
Q2 1984,NA,NA,NA,NA,345.404
Q3 1984,NA,NA,NA,NA,321.754
Q4 1984,NA,NA,NA,NA,340.977
Q1 1985,NA,NA,NA,NA,351.132
Q2 1985,NA,NA,NA,NA,384.711
Q3 1985,NA,NA,NA,NA,411.168
Q4 1985,NA,NA,NA,NA,426.84
Q1 1986,NA,NA,NA,356.44,497.798
Q2 1986,NA,NA,NA,431.01,605.133
Q3 1986,NA,NA,NA,429.28,645.401
Q4 1986,NA,NA,NA,412.3,679.86
Q1 1987,NA,NA,NA,442.72,710.853
Q2 1987,NA,NA,NA,526.35,871.896
Q3 1987,NA,NA,NA,611.39,924.277
Q4 1987,NA,NA,NA,645.4,981.574
Q1 1988,NA,NA,NA,469.97,830.015
Q2 1988,NA,NA,261.15,484.33,927.284
Q3 1988,NA,NA,276.86,522.43,919.445
Q4 1988,NA,NA,279.09,514.87,923.331
Q1 1989,NA,NA,288.12,517.67,1028.809
Q2 1989,NA,NA,310.21,609.46,1053.049
Q3 1989,NA,NA,337.19,641.31,1039.598
Q4 1989,NA,NA,373.59,686.93,1161.497
Q1 1990,NA,NA,379.41,732.75,1205.7
Q2 1990,NA,NA,366.72,681.76,1034.213
Q3 1990,NA,NA,392.81,737.05,1119.2
Q4 1990,NA,NA,347.3,641.4,916.253
Q1 1991,NA,NA,367.63,684.32,1006.546
Q2 1991,NA,NA,416.74,792.42,1106.909
Q3 1991,NA,NA,427.73,800.18,1070.947
Q4 1991,NA,NA,444.08,878.66,1147.857
Q1 1992,NA,NA,479.63,834.99,1197.46
Q2 1992,NA,NA,468.16,817.5,1101.174
Q3 1992,NA,NA,481.95,857.08,1122.649
Q4 1992,NA,NA,489.66,896.56,1142.949
Q1 1993,NA,NA,516.18,1000,1141.66
Q2 1993,NA,NA,537.09,1024.95,1241.265
Q3 1993,NA,NA,539.56,1037.56,1318.232
Q4 1993,NA,NA,558.24,1105.13,1381.721
Q1 1994,NA,NA,567.09,1251.9,1405.713
Q2 1994,NA,NA,546.65,1142.58,1415.972
Q3 1994,NA,NA,551.47,1097.93,1460.193
Q4 1994,NA,NA,574.82,1130.16,1493.268
Q1 1995,NA,NA,575.7,1170.4,1484.177
Q2 1995,NA,NA,633.32,1219.17,1555.59
Q3 1995,NA,NA,695.08,1300.3,1624.007
Q4 1995,NA,NA,743.65,1394.18,1716.796
Q1 1996,NA,NA,792.04,1474.35,1800.553
Q2 1996,NA,NA,845.2,1509.5,1875.988
Q3 1996,NA,NA,878.97,1525.56,1932.511
Q4 1996,NA,NA,901.29,1658.58,1960.56
Q1 1997,NA,NA,973.9,1722.97,2052.559
Q2 1997,NA,NA,1003.33,1798.26,2060.685
Q3 1997,NA,NA,1182.57,2019.48,2373.247
Q4 1997,NA,NA,1273.51,2286.98,2443.432
Q1 1998,NA,NA,1298.82,2217.18,2385.63
Q2 1998,NA,NA,1488.7,2620.48,2729.763
Q3 1998,NA,NA,1548.77,2591.53,2787.712
Q4 1998,NA,NA,1335.36,2164.67,2455.929
Q1 1999,NA,NA,1670.01,2604.49,2977.153
Q2 1999,NA,NA,1763.31,2825.58,3086.008
Q3 1999,NA,NA,1888.15,2910.57,3235.914
Q4 1999,NA,NA,1759.76,2696.96,3190.575
Q1 2000,NA,NA,2002.11,3140.73,3731.559
Q2 2000,NA,NA,2077.97,2949.73,3772.522
Q3 2000,NA,NA,2033.58,2966.24,3641.498
Q4 2000,NA,NA,1992.94,2900.09,3461.095
Q1 2001,NA,NA,1837.36,2882.16,3249.513
Q2 2001,NA,NA,1599.35,2623.97,2805.769
Q3 2001,NA,NA,1731.53,2683.24,2941.731
Q4 2001,NA,NA,1459.33,2263.59,2485.499
Q1 2002,NA,NA,1618.98,2476.05,2712.658
Q2 2002,NA,NA,1622.23,2526.98,2728.228
Q3 2002,NA,NA,1375.88,2259.22,2449.606
Q4 2002,NA,NA,1209.59,1848.39,2073.504
