#NAME?,US TREASURY CONST MAT 3 MONTH (W) - MIDDLE RATE,US TREASURY CONST MAT 3 MONTH (D) - MIDDLE RATE,"US ZERO COUP. YLD. CONT.COMP.,10Y - MIDDLE RATE","US ZERO COUP. YLD. CONT.COMP., 7Y - MIDDLE RATE",US TREASURY CONST MAT 10 YEAR (D) - MIDDLE RATE,US TREASURY CONST MAT 7 YEAR (D) - MIDDLE RATE
Code,FRTCW3M(IR),FRTCM3M(IR),FRTNY10(IR),FRTNY07(IR),FRTCM10(IR),FRTCM7Y(IR)
Q1 1976,NA,NA,7.6472,7.5255,7.76,7.68
Q2 1976,NA,NA,7.5251,7.4263,7.68,7.6
Q3 1976,NA,NA,7.6667,7.5691,7.88,7.74
Q4 1976,NA,NA,7.4239,7.1935,7.49,7.29
Q1 1977,NA,NA,6.7597,6.5267,6.84,6.5
Q2 1977,NA,NA,7.3354,7.1298,7.43,7.21
Q3 1977,NA,NA,7.2019,6.9578,7.34,7.04
Q4 1977,NA,NA,7.3075,7.1789,7.41,7.29
Q1 1978,NA,NA,7.6847,7.5833,7.78,7.66
Q2 1978,NA,NA,7.9456,7.895,8.13,8.04
Q3 1978,NA,NA,8.3601,8.3529,8.59,8.49
Q4 1978,NA,NA,8.2748,8.2929,8.58,8.57
Q1 1979,NA,NA,8.7944,8.9096,9.15,9.23
Q2 1979,NA,NA,8.7871,8.8591,9.11,9.14
Q3 1979,NA,NA,8.4383,8.46,8.76,8.72
Q4 1979,NA,NA,9.1443,9.2159,9.51,9.53
Q1 1980,NA,NA,9.9624,9.9088,10.33,10.36
Q2 1980,NA,NA,12.0091,11.9356,12.69,12.83
Q3 1980,NA,NA,9.8861,9.5997,10.13,9.8
Q4 1980,NA,NA,11.4273,11.2192,11.78,11.77
Q1 1981,NA,NA,11.8414,11.9165,12.43,12.49
Q2 1981,NA,NA,12.6489,12.6417,13.14,13.28
Q3 1981,NA,NA,13.1791,13.3111,14.04,14.24
Q4 1981,NA,NA,14.8618,14.9749,15.75,15.97
Q1 1982,NA,NA,13.513,13.4957,13.98,13.97
Q2 1982,13.36,13.87,13.3152,13.4875,14.1,14.25
Q3 1982,13.52,13.14,13.5295,13.6818,14.4,14.62
Q4 1982,7.77,7.6,11.4851,11.4316,11.51,11.51
Q1 1983,8.28,8.17,10.4219,10.3792,10.32,10.25
Q2 1983,8.98,8.96,10.6139,10.5101,10.62,10.52
Q3 1983,9.22,9.05,10.9026,10.8471,10.93,10.89
Q4 1983,9.11,9.13,11.3596,11.2395,11.47,11.42
Q1 1984,9.33,9.33,11.6444,11.5309,11.82,11.77
Q2 1984,10.11,10.05,12.2883,12.2202,12.56,12.5
Q3 1984,10.2,10.12,13.5111,13.4179,13.87,13.83
Q4 1984,10.65,10.65,12.1507,12.1894,12.54,12.6
Q1 1985,7.93,8.12,11.4774,11.3101,11.55,11.52
Q2 1985,8.59,8.44,11.5965,11.4184,11.66,11.57
Q3 1985,7.2,7.09,10.2752,10.0759,10.19,10.04
Q4 1985,7.11,7.26,10.4346,10.1256,10.29,10.13
Q1 1986,7.25,7.28,9.181,8.859,9,8.87
Q2 1986,6.58,6.52,7.4811,7.3883,7.37,7.25
Q3 1986,6.26,6.17,7.7681,7.6384,7.37,7.31
Q4 1986,5.39,5.33,7.8381,7.5266,7.41,7.26
Q1 1987,5.71,5.83,7.5628,7.2072,7.23,7.09
Q2 1987,5.78,5.71,7.7375,7.4323,7.59,7.39
Q3 1987,5.96,5.82,8.4844,8.2415,8.36,8.22
