#NAME?,US UNEMPLOYMENT RATE SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL URBAN SAMPLE: ALL ITEMS NADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE NADJ,US AWH: PROD EMPS - TOTAL PRIVATE VOLA
Code,USUN%TOTQ,USCONPRCE,USCONPRCF,USCPANNL,USHKIP..O
Q1 1976,7.7,55.9,55.767,6.36,36.2
Q2 1976,7.6,56.4,56.467,6.07,36.1
Q3 1976,7.7,57.3,57.367,5.52,36.1
Q4 1976,7.8,58.133,58.033,5.07,35.9
Q1 1977,7.5,59.2,59.033,5.86,35.8
Q2 1977,7.1,60.233,60.333,6.85,36
Q3 1977,6.9,61.067,61.2,6.68,35.9
Q4 1977,6.7,61.967,61.867,6.61,35.9
Q1 1978,6.3,63.033,62.933,6.61,35.6
Q2 1978,6,64.467,64.533,6.96,35.8
Q3 1978,6,65.967,66.067,7.95,35.8
Q4 1978,5.9,67.5,67.4,8.94,35.7
Q1 1979,5.9,69.2,69.067,9.74,35.7
Q2 1979,5.7,71.4,71.467,10.74,35.5
Q3 1979,5.9,73.7,73.833,11.75,35.6
Q4 1979,6,76.033,75.933,12.66,35.6
Q1 1980,6.3,79.033,78.933,14.28,35.4
Q2 1980,7.3,81.7,81.833,14.51,35.1
Q3 1980,7.7,83.233,83.333,12.87,35
Q4 1980,7.4,85.567,85.533,12.64,35.3
Q1 1981,7.4,87.933,87.8,11.24,35.3
Q2 1981,7.4,89.767,89.833,9.78,35.3
Q3 1981,7.4,92.267,92.367,10.84,35.1
Q4 1981,8.2,93.767,93.7,9.55,35
Q1 1982,8.8,94.6,94.467,7.6,34.7
Q2 1982,9.4,95.967,95.9,6.75,34.8
Q3 1982,9.9,97.633,97.7,5.78,34.8
Q4 1982,10.7,97.933,97.933,4.52,34.6
Q1 1983,10.4,98,97.867,3.6,34.7
Q2 1983,10.1,99.133,99.1,3.34,34.9
Q3 1983,9.4,100.1,100.267,2.63,34.9
Q4 1983,8.5,101.1,101.167,3.3,35.1
Q1 1984,7.9,102.533,102.3,4.53,35.2
Q2 1984,7.4,103.5,103.4,4.34,35.1
Q3 1984,7.4,104.4,104.533,4.26,35.1
Q4 1984,7.3,105.3,105.3,4.09,35
Q1 1985,7.2,106.267,105.967,3.58,34.9
Q2 1985,7.3,107.233,107.267,3.74,34.9
Q3 1985,7.2,107.9,108.033,3.35,34.8
Q4 1985,7,109,109,3.51,34.8
Q1 1986,7,109.567,109.233,3.09,34.8
Q2 1986,7.2,109.033,109,1.62,34.6
Q3 1986,7,109.7,109.8,1.64,34.6
Q4 1986,6.8,110.467,110.4,1.28,34.6
Q1 1987,6.6,111.8,111.633,2.2,34.8
Q2 1987,6.3,113.067,113.1,3.76,34.7
Q3 1987,6,114.267,114.4,4.19,34.7
Q4 1987,5.8,115.333,115.367,4.5,34.7
Q1 1988,5.7,116.233,116.067,3.97,34.6
Q2 1988,5.5,117.567,117.533,3.92,34.6
Q3 1988,5.5,119,119.1,4.11,34.5
Q4 1988,5.3,120.3,120.333,4.31,34.6
Q1 1989,5.2,121.667,121.667,4.82,34.6
Q2 1989,5.2,123.633,123.667,5.22,34.5
Q3 1989,5.2,124.6,124.667,4.68,34.5
