Date,US MONEY SUPPLY M2 CURA,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,US UNEMPLOYMENT RATE SADJ,US TOTAL CIVILIAN EMPLOYMENT VOLA,US CPI - ALL URBAN: ALL ITEMS SADJ,CPI,Long Interest Rate,DivYieldSP500,Div yield 2 (%change),
Q1 1976,1039,44.5379,7.7,87686,55.9,,,,,
Q2 1976,1070.2,45.1071,7.6,88591,56.4,,,,,
Q3 1976,1098.6,45.7101,7.7,89163,57.3,,,,,
Q4 1976,1138.4,46.5346,7.8,89570,58.133,,,,,
Q1 1977,1177.1,47.5001,7.5,90359,59.2,,,,,
Q2 1977,1208.8,48.9719,7.1,91661,60.233,,,,,
Q3 1977,1236.6,49.5006,6.9,92409,61.067,,,,,
Q4 1977,1262.2,49.8219,6.7,93639,61.967,,,,,
Q1 1978,1285.8,49.6832,6.3,94553,63.033,,,,,
Q2 1978,1309.8,51.6826,6,95835,64.467,,,,,
Q3 1978,1334.2,52.1332,6,96397,65.967,,,,,
Q4 1978,1359.1,53.0662,5.9,97400,67.5,,,,,
Q1 1979,1379.1,53.291,5.9,98252,69.2,,,,,
Q2 1979,1411.8,53.1761,5.7,98371,71.4,,,,,
Q3 1979,1445.2,53.0273,5.9,99041,73.7,,,,,
Q4 1979,1466.7,53.2304,6,99637,76.033,,,,,
Q1 1980,1492.4,53.4461,6.3,99862,79.033,,,,,
Q2 1980,1514.6,51.1774,7.3,98953,81.7,,,,,
Q3 1980,1560.3,50.3368,7.7,98899,83.233,,,,,
Q4 1980,1593.5,52.2738,7.4,99499,85.567,,,,,
Q1 1981,1620.7,52.3984,7.4,100239,87.933,,,,,
Q2 1981,1664.6,52.5593,7.4,100801,89.767,,,,,
Q3 1981,1694.1,53.0648,7.4,100482,92.267,,,,,
Q4 1981,1737.8,51.9054,8.2,100077,93.767,,,,,
Q1 1982,1777.1,50.8388,8.8,99709,94.6,,,,,
Q2 1982,1815.1,50.19,9.4,99745,95.97,,,,,
Q3 1982,1845,49.4724,9.9,99543,97.633,,,,,
Q4 1982,1886.4,48.5406,10.7,99120,97.933,,,,,
Q1 1983,1990.5,49.1035,10.4,99143,98,,,,,
Q2 1983,2041.7,50.1949,10.1,99945,99.133,,,,,
Q3 1983,2074,51.9163,9.4,101611,100.1,,,,,
Q4 1983,2111.7,53.2852,8.5,102588,101.1,,,,,
Q1 1984,2157.2,54.847,7.9,103664,102.533,102.6,12.32,4.56,,
Q2 1984,2203.6,55.6913,7.4,105040,103.5,103.7,13.56,4.77,,
Q3 1984,2232.8,56.0867,7.4,105363,104.4,105,12.52,4.44,,
Q4 1984,2282.2,56.1141,7.3,105944,105.3,105.3,11.5,4.58,,
Q1 1985,2350.9,56.2984,7.2,106615,106.267,106.4,11.86,4.27,,
Q2 1985,2392.5,56.3361,7.3,106791,107.233,107.6,10.16,4.1,,
Q3 1985,2443.3,56.2591,7.2,107186,107.9,108.3,10.37,4.26,,
Q4 1985,2479.3,56.5885,7,108023,109,109.3,9.26,3.81,,
Q1 1986,2516,56.9289,7,108735,109.567,108.8,7.78,3.45,,
Q2 1986,2582.5,56.5799,7.2,109206,109.033,109.5,7.8,3.3,,
Q3 1986,2647,56.8018,7,109970,109.7,110.2,7.45,3.45,,
Q4 1986,2705.6,57.4535,6.8,110492,110.467,110.5,7.11,3.33,,
Q1 1987,2748.4,58.2136,6.6,111206,111.8,112.1,7.25,2.85,,
Q2 1987,2771.7,59.2304,6.3,112158,113.067,113.5,8.4,2.83,,
Q3 1987,2788.9,60.3374,6,112867,114.267,115,9.42,2.72,,
Q4 1987,2820,61.8079,5.8,113527,115.333,115.4,8.99,3.66,,
Q1 1988,2869.5,62.3685,5.7,114093,116.233,116.5,8.37,3.37,,
Q2 1988,2925,62.9002,5.5,114623,117.567,118,8.92,3.41,,
Q3 1988,2952,63.1269,5.5,115233,119,119.8,8.98,3.53,,
Q4 1988,2977.9,63.5828,5.3,115947,120.3,120.5,9.11,3.53,,
Q1 1989,2994.5,63.8695,5.2,116835,121.667,122.3,9.36,3.42,,
Q2 1989,3015.2,63.6398,5.2,117205,123.633,124.1,8.28,3.2,,
Q3 1989,3073.1,63.2492,5.2,117494,124.6,125,8.19,3.09,,
Q4 1989,3133.3,63.5208,5.4,117774,125.867,126.1,7.84,3.17,,
Q1 1990,3178.7,63.9418,5.3,119114,128.033,128.7,8.59,3.34,,
Q2 1990,3205.3,64.4205,5.3,118995,129.3,129.9,8.48,3.24,-0.02994012,
Q3 1990,3240.4,64.6892,5.7,118712,131.533,132.7,8.89,3.75,0.157407407,
Q4 1990,3264.6,63.6874,6.1,118361,133.767,133.8,8.08,3.68,-0.018666667,
Q1 1991,3304.7,62.4835,6.6,117782,134.767,135,8.11,3.25,-0.116847826,
Q2 1991,3342.4,62.8478,6.8,117729,135.567,136,8.28,3.21,-0.012307692,
Q3 1991,3355.3,63.7376,6.9,117660,136.6,137.2,7.65,3.17,-0.012461059,
Q4 1991,3365.9,63.8877,7.1,117679,137.733,137.9,7.09,3.14,-0.009463722,
Q1 1992,3395,63.8166,7.4,117958,138.667,139.3,7.54,3.03,-0.035031847,
Q2 1992,3397.2,64.9528,7.6,118407,139.733,140.2,7.26,3.02,-0.00330033,
Q3 1992,3401,65.4525,7.6,118753,140.8,141.3,6.42,2.96,-0.01986755,
Q4 1992,3425,66.1438,7.4,118834,142.033,141.9,6.77,2.84,-0.040540541,
Q1 1993,3415.1,66.7298,7.1,119297,143.067,143.6,5.98,2.77,-0.024647887,
Q2 1993,3430.2,66.8818,7.1,119960,144.1,144.4,5.96,2.79,0.007220217,
Q3 1993,3446.6,67.1443,6.8,120626,144.767,145.1,5.36,2.73,-0.021505376,
Q4 1993,3467.1,68.1632,6.6,121152,145.967,145.8,5.77,2.7,-0.010989011,
Q1 1994,3476.9,69.0083,6.6,121994,146.7,147.2,6.48,2.74,0.014814815,
Q2 1994,3483.9,70.2582,6.2,122596,147.533,148,7.1,2.82,0.02919708,
Q3 1994,3486.7,71.1555,6,123245,148.9,149.4,7.46,2.77,-0.017730496,
Q4 1994,3486,72.6321,5.6,124450,149.767,149.7,7.81,2.89,0.0433213,
Q1 1995,3491.1,73.3775,5.5,124849,150.867,151.4,7.2,2.67,-0.076124567,
Q2 1995,3524.1,73.6106,5.7,124629,152.1,152.5,6.17,2.48,-0.071161049,
Q3 1995,3586.2,74.285,5.7,124934,152.867,153.2,6.2,2.35,-0.052419355,
Q4 1995,3620.9,74.9223,5.6,125221,153.7,153.5,5.71,2.24,-0.046808511,
Q1 1996,3665.6,75.4272,5.5,125542,155.067,155.7,6.27,2.18,-0.026785714,
Q2 1996,3710,77.0464,5.5,126280,156.4,156.7,6.91,2.14,-0.018348624,
Q3 1996,3744.9,78.0451,5.3,127218,157.3,157.8,6.83,2.17,0.014018692,
Q4 1996,3795.6,79.1401,5.3,127840,158.667,158.6,6.3,2,-0.078341014,
Q1 1997,3847.5,80.6514,5.2,128496,159.633,160,6.69,1.9,-0.05,
Q2 1997,3891,81.8036,5,129340,160,160.3,6.49,1.73,-0.089473684,
Q3 1997,3951.8,83.6807,4.9,129950,160.8,161.2,6.21,1.64,-0.052023121,
Q4 1997,4013.7,85.7787,4.7,130504,161.667,161.3,5.81,1.61,-0.018292683,
Q1 1998,4086.9,86.7428,4.6,130782,162,162.2,5.65,1.45,-0.099378882,
Q2 1998,4163.3,87.3271,4.4,131259,162.533,163,5.5,1.44,-0.006896552,
Q3 1998,4234,87.9728,4.5,131568,163.367,163.6,4.81,1.58,0.097222222,
Q4 1998,4343.8,89.2394,4.4,132294,164.133,163.9,4.65,1.36,-0.139240506,
Q1 1999,4420.7,90.2266,4.3,132943,164.733,165,5.23,1.28,-0.058823529,
Q2 1999,4485.1,91.0929,4.3,133215,165.967,166.2,5.9,1.24,-0.03125,
Q3 1999,4552,91.9045,4.2,133571,167.2,167.9,5.92,1.26,0.016129032,
Q4 1999,4614,93.5314,4.1,134275,168.433,168.3,6.28,1.17,-0.071428571,
Q1 2000,4685.9,94.4765,4,136619,170.1,171.2,6.26,1.16,-0.008547009,
Q2 2000,4764.6,95.6199,3.9,136947,171.433,172.4,6.1,1.14,-0.017241379,
Q3 2000,4820.6,95.5269,4,136695,173,173.7,5.8,1.11,-0.026315789,
Q4 2000,4891.8,95.3257,3.9,137341,174.233,174,5.24,1.22,0.099099099,
Q1 2001,5020.6,94.0682,4.2,137724,175.9,176.2,4.89,1.35,0.106557377,
Q2 2001,5147.3,92.8812,4.4,137088,177.133,178,5.28,1.27,-0.059259259,
Q3 2001,5262.8,91.6006,4.8,136719,177.633,178.3,4.73,1.51,0.188976378,
Q4 2001,5383.6,90.6416,5.5,136226,177.5,176.7,5.09,1.37,-0.092715232,
Q1 2002,5477.5,91.3109,5.7,136105,178.067,178.8,5.28,1.36,-0.00729927,
Q2 2002,5521.2,92.7305,5.8,136360,179.467,179.9,4.93,1.58,0.161764706,
