Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q1 1984,9.7,3/31/84,55.244,9.7,9.33,60.446,,,,,Q4 1977,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,,,,
Q2 1984,9.9,6/30/84,54.631,9.9,9.68,60.774,,,,,Q1 1978,2.9,NA,102.9,2.92,,,,,,,,,,,,,,,,,,,,,,,
Q3 1984,10.22,9/30/84,52.713,10.22,9.74,59.64,,,,,Q2 1978,3.06,NA,106.0487,3.84,,,,,,,,,,,,,,,,,,,,,,,
Q4 1984,7.84,12/31/84,58.15,7.84,10.23,63.979,,,,,Q3 1978,3.39,NA,109.6438,3.44,,,,,,,,,,,,,,,,,,,,,,,
Q1 1985,8.15,3/31/85,63.073,8.15,8.12,69.046,,,,,Q4 1978,5.89,NA,116.1018,6.44,,,,,,,,,,,,,,,,,,,,,,,
Q2 1985,6.83,6/30/85,64.473,6.83,8.15,70.479,,,,,Q1 1979,3.81,NA,120.5253,4.06,,,,,,,,,,,,,,,,,,,,,,,
Q3 1985,7.26,9/30/85,71.932,7.26,6.87,76.515,,,,,Q2 1979,4.32,NA,125.732,6.14,,,,,,,,,,,,,,,,,,,,,,,
Q4 1985,7.26,12/31/85,73.111,7.26,7.03,77.996,,,,,Q3 1979,4.75,NA,131.7043,4.18,,,,,,,,,,,,,,,,,,,,,,,
Q1 1986,6.54,3/31/86,80.74,6.54,7.28,83.35,,,,,Q4 1979,6.19,NA,139.8567,4.84,,,,,,,,,,,,,,,,,,,,,,,
Q2 1986,6.12,6/30/86,91.371,6.12,6.33,89.129,,,,,Q1 1980,5.54,NA,147.6048,5.44,,,,,,,,,,,,,,,,,,,,,,,
Q3 1986,5.33,9/30/86,93.193,5.33,5.99,90.238,,,,,Q2 1980,2.36,NA,151.0883,3.88,,,,,,,,,,,,,,,,,,,,,,,
Q4 1986,5.84,12/31/86,94.687,5.84,5.19,92.478,,,,,Q3 1980,3.79,NA,156.8145,3.78,,,,,,,,,,,,,,,,,,,,,,,
Q1 1987,5.79,3/31/87,97.07,5.79,5.83,94.463,,,,,Q4 1980,5.32,NA,165.1571,3.85,,,,,,,,,,,,,,,,,,,,,,,
Q2 1987,5.89,6/30/87,96.545,5.89,5.54,94.656,,,,,Q1 1981,2.96,NA,170.0457,3.8,,,,,,,,,,,,,,,,,,,,,,,
Q3 1987,6.81,9/30/87,93.454,6.81,5.64,93.25,,,,,Q2 1981,4.23,NA,177.2386,4.45,,,,,,,,,,,,,,,,,,,,,,,
Q4 1987,5.85,12/31/87,87.669,5.85,6.63,90.493,,,,,Q3 1981,3.21,NA,182.928,3.98,,,,,,,,,,,,,,,,,,,,,,,
Q1 1988,5.89,3/31/88,93.998,5.89,5.86,95.45,,,,,Q4 1981,5.29,NA,192.6049,3.79,,,,,,,,,,,,,,,,,,,,,,,
Q2 1988,6.75,6/30/88,97.369,6.75,5.87,98.592,,,,,Q1 1982,2.49,NA,197.4008,2.63,,,,,,,,,,,,,,,,,,,,,,,
Q3 1988,7.49,9/30/88,97.989,7.49,6.55,99.248,,,,,Q2 1982,2.07,NA,201.487,2.04,,,,,,,,,,,,,,,,,,,,,,,
