Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,Obs.nr
12/31/77,NA,NA,100,NA,1
3/31/78,2.9,NA,102.9,2.92,2
6/30/78,3.06,NA,106.0487,3.84,3
9/30/78,3.39,NA,109.6438,3.44,4
12/31/78,5.89,NA,116.1018,6.44,5
3/31/79,3.81,NA,120.5253,4.06,6
6/30/79,4.32,NA,125.732,6.14,7
9/30/79,4.75,NA,131.7043,4.18,8
12/31/79,6.19,NA,139.8567,4.84,9
3/31/80,5.54,NA,147.6048,5.44,10
6/30/80,2.36,NA,151.0883,3.88,11
9/30/80,3.79,NA,156.8145,3.78,12
12/31/80,5.32,NA,165.1571,3.85,13
3/31/81,2.96,NA,170.0457,3.8,14
6/30/81,4.23,NA,177.2386,4.45,15
9/30/81,3.21,NA,182.928,3.98,16
12/31/81,5.29,NA,192.6049,3.79,17
3/31/82,2.49,NA,197.4008,2.63,18
6/30/82,2.07,NA,201.487,2.04,19
9/30/82,1.52,NA,204.5496,1.53,20
12/31/82,3.04,NA,210.7679,1.06,21
3/31/83,1.75,NA,214.4563,1.85,22
6/30/83,2.54,NA,219.9035,3.28,23
9/30/83,2.96,NA,226.4126,3.13,24
12/31/83,5.31,NA,238.4351,4.38,25
3/31/84,3.35,NA,246.4227,3.91,26
6/30/84,3.16,5.6,254.2097,3.14,27
9/30/84,2.46,-10.27,260.4632,2.89,28
12/31/84,4.21,1.37,271.4287,3.09,29
3/31/85,2.08,6.86,277.0745,2.27,30
6/30/85,2.6,6.42,284.2784,2.17,31
9/30/85,2.39,7.98,291.0726,2.24,32
12/31/85,3.73,0.86,301.9297,2.37,33
3/31/86,2.03,-12.45,308.0588,2.08,34
6/30/86,1.96,15.24,314.0968,1.41,35
9/30/86,1.5,1.31,318.8082,1.44,36
12/31/86,2.57,1.74,327.0016,1.65,37
3/31/87,1.83,2.29,332.9857,1.44,38
6/30/87,1.19,5.85,336.9483,1.42,39
9/30/87,2.09,1.35,343.9905,2.26,40
12/31/87,2.67,-14.56,353.175,1.46,41
3/31/88,1.84,4.86,359.6734,1.6,42
6/30/88,2,8.59,366.8669,1.74,43
9/30/88,2.39,2.35,375.635,1.98,44
12/31/88,3.07,-8.22,387.167,1.81,45
3/31/89,1.75,5.89,393.9425,1.69,46
6/30/89,2,2.8,401.8213,1.4,47
9/30/89,2.05,2.76,410.0586,2.18,48
12/31/89,1.75,-4.68,417.2347,1.29,49
3/31/90,1.38,-5.28,422.9925,1.34,50
6/30/90,1.52,9.61,429.422,1.3,51
9/30/90,0.84,3.72,433.0291,0.38,52
12/31/90,-1.43,0.69,426.8368,-1.58,53
3/31/91,0.05,-5.19,427.0502,-0.67,54
6/30/91,0.01,-3.43,427.0929,-0.97,55
9/30/91,-0.03,6.67,426.952,-1.29,56
12/31/91,-5.33,-3.72,404.1955,-3.45,57
3/31/92,-0.03,6.39,404.0742,-1.12,58
6/30/92,-1.03,0.28,399.9122,-1.21,59
