Date,US NCREIF: TOWNSEND FUND RETURNS - VALUE ADDED(DISC.) NADJ,US NCREIF: TOWNSEND FUND RETURNS - OPPORTUNISTIC(DISC.) NADJ,US NCREIF: TOWNSEND FUND RETURNS - CORE(DISC.) NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF: TBI RETURNS - EAST REGION(DISC.) NADJ,US NCREIF: TBI RETURNS - WEST REGION(DISC.) NADJ,US NCREIF: TBI RETURNS - SOUTH REGION(DISC.) NADJ,US NCREIF: TBI RETURNS - MIDWEST REGION(DISC.) NADJ,US NCREIF: TBI RETURNS - APARTMENT(DISC.) NADJ,US NCREIF: TBI RETURNS - RETAIL(DISC.) NADJ,US NCREIF: TBI RETURNS - INDUSTRIAL(DISC.) NADJ,US NCREIF: TBI RETURNS - OFFICE(DISC.) NADJ
3/31/76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/78,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/78,NA,NA,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/78,NA,NA,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/78,NA,NA,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/79,NA,NA,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/79,NA,NA,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/79,NA,NA,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/79,NA,NA,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/80,NA,NA,5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/80,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/30/80,NA,NA,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/31/80,NA,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
