#NAME?,FTSE Nareit ALL REITS $ - PRICE INDEX,FTSE Nareit ALL EQUITY REITS $ - PRICE INDEX,,,#NAME?,FTSE Nareit ALL REITS $ - TOT RETURN IND,FTSE Nareit ALL EQUITY REITS $ - TOT RETURN IND,FTSE Nareit ALL RES. CAP - TOT RETURN IND
Code,NARALL$,NAREQU$,,,Code,NARALL$(RI),NAREQU$(RI),FEALRCL(RI)
Q1 1976,42.82,60.54,,,Q1 1976,63.74,85.56,NA
Q2 1976,49.32,70.96,,,Q2 1976,75.21,102.49,NA
Q3 1976,48.3,71.69,,,Q3 1976,75.28,105.51,NA
Q4 1976,51.84,75.33,,,Q4 1976,82.58,113.29,NA
Q1 1977,58.47,82.46,,,Q1 1977,94.96,126.28,NA
Q2 1977,58.28,87.01,,,Q2 1977,96.58,135.84,NA
Q3 1977,61.6,90.77,,,Q3 1977,104.03,144,NA
Q4 1977,62.13,89.96,,,Q4 1977,106.97,145.28,NA
Q1 1978,64.37,93.98,,,Q1 1978,113.07,154.59,NA
Q2 1978,64.23,96.14,,,Q2 1978,114.95,160.5,NA
Q3 1978,62.03,94.01,,,Q3 1978,113.25,159.68,NA
Q4 1978,65.74,98.95,,,Q4 1978,122.75,172.19,NA
Q1 1979,58.31,96.48,,,Q1 1979,111.21,170.57,NA
Q2 1979,66,107.31,,,Q2 1979,128.96,193.95,NA
Q3 1979,70.59,114.88,,,Q3 1979,140.89,211.42,NA
Q4 1979,75.73,128.75,,,Q4 1979,154.59,242.65,NA
Q1 1980,69.59,121.07,,,Q1 1980,145.16,231.73,NA
Q2 1980,62.06,113.06,,,Q2 1980,132.93,221.44,NA
Q3 1980,71.39,110.36,,,Q3 1980,164.24,248.21,NA
Q4 1980,75.63,118.08,,,Q4 1980,177.97,271.15,NA
Q1 1981,77.3,123.42,,,Q1 1981,185.84,288.2,NA
Q2 1981,82.09,127.64,,,Q2 1981,202,304.26,NA
